Frame,middle,rear,left_hind,left_front,head,right_hind,right_front
165,"(6.0, 747.0)","(2.0, 694.0)","(-30.0, 646.0)","(-33.0, 816.0)","(14.0, 792.0)","(56.0, 692.0)","(43.0, 732.0)"
166,"(6.0, 747.0)","(2.0, 694.0)","(-30.0, 646.0)","(-35.0, 816.0)","(14.0, 792.0)","(56.0, 692.0)","(43.0, 732.0)"
167,"(5.0, 750.0)","(4.0, 686.0)","(-33.0, 650.0)","(-34.0, 815.0)","(19.0, 798.0)","(52.0, 702.0)","(40.0, 734.0)"
168,"(12.0, 756.0)","(3.0, 700.0)","(-32.0, 658.0)","(-34.0, 815.0)","(17.0, 804.0)","(52.0, 700.0)","(43.0, 740.0)"
169,"(14.0, 761.0)","(6.0, 705.5)","(-34.0, 668.0)","(-34.0, 815.0)","(17.0, 808.0)","(44.0, 703.0)","(49.33, 759.17)"
170,"(14.0, 767.0)","(9.0, 711.0)","(-38.0, 682.0)","(-37.0, 816.0)","(14.0, 818.0)","(39.0, 704.0)","(60.0, 783.0)"
171,"(21.0, 776.0)","(9.0, 718.0)","(-41.33, 690.0)","(-36.0, 816.0)","(17.0, 826.0)","(50.0, 694.0)","(60.0, 796.0)"
172,"(21.0, 776.0)","(9.0, 718.0)","(-46.0, 704.0)","(-36.0, 816.0)","(16.0, 826.0)","(50.0, 694.0)","(60.0, 796.0)"
173,"(18.0, 786.0)","(10.42, 725.08)","(-54.0, 722.0)","(-35.0, 816.0)","(12.0, 830.0)","(48.0, 698.0)","(63.83, 813.17)"
174,"(20.0, 792.0)","(11.83, 732.17)","(-53.0, 736.0)","(-34.0, 815.0)","(12.0, 836.0)","(47.83, 700.83)","(63.81, 827.19)"
175,"(19.0, 800.0)","(12.42, 741.08)","(-56.0, 750.0)","(-34.0, 815.0)","(13.0, 846.0)","(49.14, 699.31)","(70.0, 852.0)"
176,"(18.0, 806.0)","(13.0, 750.0)","(-54.0, 762.0)","(-38.0, 815.0)","(8.0, 850.0)","(47.0, 700.0)","(62.0, 870.0)"
177,"(19.0, 814.0)","(20.0, 758.0)","(-52.0, 775.0)","(-36.0, 816.0)","(8.0, 858.0)","(50.0, 704.0)","(50.0, 880.0)"
178,"(19.0, 814.0)","(20.0, 758.0)","(-52.0, 775.0)","(-36.0, 816.0)","(8.0, 858.0)","(50.0, 704.0)","(50.0, 880.0)"
179,"(16.0, 818.0)","(12.0, 764.0)","(-56.0, 794.0)","(-34.0, 824.0)","(6.0, 866.0)","(50.0, 708.0)","(52.0, 890.0)"
180,"(16.0, 824.0)","(12.0, 770.0)","(-55.0, 798.0)","(-34.0, 826.0)","(4.0, 870.0)","(48.0, 713.0)","(62.0, 894.0)"
181,"(18.0, 830.0)","(16.0, 777.0)","(-45.0, 804.0)","(-34.0, 830.0)","(9.0, 880.0)","(51.0, 718.0)","(62.0, 896.0)"
182,"(14.0, 840.0)","(14.0, 780.0)","(-42.0, 804.0)","(-30.0, 834.0)","(2.0, 886.0)","(47.83, 729.83)","(62.0, 896.0)"
183,"(14.0, 844.0)","(17.0, 787.0)","(-44.0, 802.0)","(-30.0, 836.0)","(2.0, 892.0)","(46.0, 740.0)","(62.0, 896.0)"
184,"(14.0, 844.0)","(17.0, 787.0)","(-44.0, 802.0)","(-30.0, 836.0)","(2.0, 892.0)","(46.0, 740.0)","(62.0, 896.0)"
185,"(14.0, 848.0)","(16.0, 790.67)","(-42.0, 802.0)","(-28.0, 841.0)","(4.0, 896.0)","(45.0, 754.0)","(57.0, 896.0)"
186,"(14.0, 848.0)","(15.0, 794.33)","(-42.0, 802.0)","(-28.0, 841.0)","(4.0, 896.0)","(45.0, 754.0)","(57.0, 896.0)"
187,"(11.0, 858.0)","(14.0, 798.0)","(-40.0, 802.0)","(-36.0, 852.0)","(4.0, 902.0)","(46.0, 760.0)","(54.0, 900.0)"
188,"(11.0, 862.0)","(18.0, 806.0)","(-40.0, 802.0)","(-42.0, 868.0)","(-2.0, 907.0)","(48.67, 777.17)","(54.0, 900.0)"
189,"(12.0, 868.0)","(18.67, 810.67)","(-40.0, 802.0)","(-49.0, 878.0)","(1.0, 912.0)","(56.0, 810.0)","(48.0, 898.0)"
190,"(12.0, 868.0)","(19.33, 815.33)","(-40.0, 802.0)","(-46.0, 879.0)","(1.0, 912.0)","(51.94, 794.03)","(48.0, 898.0)"
191,"(9.0, 874.0)","(20.0, 820.0)","(-36.0, 802.0)","(-49.0, 888.0)","(0.0, 918.0)","(52.0, 798.0)","(46.0, 898.0)"
192,"(6.0, 878.0)","(24.0, 830.0)","(-35.0, 802.0)","(-50.5, 905.5)","(2.0, 924.0)","(55.99, 815.34)","(44.0, 894.0)"
193,"(-2.0, 886.0)","(17.0, 836.0)","(-36.0, 802.0)","(-54.0, 928.0)","(2.0, 930.0)","(60.0, 818.0)","(42.0, 892.0)"
194,"(-2.0, 894.0)","(20.0, 848.0)","(-36.0, 802.0)","(-50.58, 933.58)","(6.0, 938.0)","(62.0, 836.0)","(38.0, 892.0)"
195,"(-4.0, 900.0)","(16.0, 854.0)","(-38.0, 804.0)","(-49.0, 966.0)","(6.0, 942.0)","(70.0, 848.0)","(33.0, 890.0)"
196,"(-4.0, 900.0)","(16.0, 854.0)","(-38.0, 804.0)","(-49.0, 966.0)","(6.0, 942.0)","(70.0, 848.0)","(33.0, 890.0)"
197,"(0.0, 905.0)","(14.0, 852.0)","(-38.0, 806.0)","(-46.0, 978.0)","(11.0, 948.0)","(76.0, 862.0)","(26.0, 890.0)"
198,"(-6.0, 910.0)","(11.0, 860.0)","(-34.0, 808.0)","(-40.0, 987.0)","(11.0, 953.0)","(65.0, 867.5)","(26.0, 898.0)"
199,"(-4.0, 912.0)","(-2.0, 852.0)","(-38.0, 806.0)","(-38.0, 996.0)","(7.0, 956.0)","(64.0, 882.0)","(37.67, 898.33)"
200,"(0.0, 917.0)","(2.0, 854.0)","(-36.0, 816.0)","(-34.0, 1003.0)","(12.0, 963.0)","(60.0, 885.0)","(48.0, 904.0)"
201,"(0.0, 922.0)","(6.0, 866.0)","(-35.0, 824.0)","(-34.0, 1004.0)","(12.0, 968.0)","(59.0, 886.0)","(45.0, 904.0)"
202,"(0.0, 932.0)","(2.0, 872.0)","(-32.0, 828.0)","(-38.0, 1004.0)","(19.0, 978.0)","(60.0, 886.0)","(42.0, 914.0)"
203,"(3.0, 936.0)","(3.0, 883.0)","(-28.0, 835.0)","(-33.0, 1006.0)","(14.0, 982.0)","(53.17, 887.33)","(42.0, 920.0)"
204,"(3.0, 936.0)","(3.0, 883.0)","(-28.0, 835.0)","(-34.0, 1006.0)","(14.0, 982.0)","(55.53, 887.22)","(42.0, 920.0)"
205,"(9.0, 940.0)","(2.0, 876.0)","(-32.0, 840.0)","(-38.0, 1004.0)","(16.0, 986.0)","(52.0, 892.0)","(44.0, 924.0)"
206,"(12.0, 945.0)","(8.0, 892.0)","(-28.0, 848.0)","(-38.0, 1004.0)","(18.0, 994.0)","(54.0, 890.0)","(44.0, 930.0)"
207,"(12.0, 950.0)","(5.0, 900.0)","(-34.0, 858.0)","(-38.0, 1004.0)","(18.0, 998.0)","(44.0, 894.0)","(49.33, 949.67)"
208,"(13.0, 956.0)","(10.0, 904.0)","(-38.0, 870.0)","(-38.0, 1006.0)","(14.0, 1008.0)","(45.0, 894.0)","(56.0, 976.0)"
209,"(17.0, 964.0)","(14.0, 912.0)","(-41.33, 879.0)","(-34.0, 1006.0)","(12.0, 1014.0)","(53.0, 885.0)","(60.0, 988.0)"
210,"(17.0, 964.0)","(14.0, 912.0)","(-46.0, 894.0)","(-34.0, 1006.0)","(12.0, 1014.0)","(53.0, 885.0)","(60.0, 988.0)"
211,"(19.0, 976.0)","(12.0, 921.0)","(-56.0, 910.0)","(-34.0, 1006.0)","(15.0, 1020.0)","(51.0, 888.0)","(66.0, 1006.0)"
212,"(20.0, 982.0)","(9.0, 922.0)","(-54.0, 924.0)","(-38.0, 1004.0)","(14.0, 1026.0)","(49.33, 890.5)","(66.0, 1024.0)"
213,"(20.0, 989.0)","(10.0, 930.0)","(-53.0, 940.0)","(-36.0, 1004.0)","(12.0, 1034.0)","(48.0, 888.0)","(70.0, 1040.0)"
214,"(19.0, 996.0)","(18.0, 943.0)","(-52.0, 952.0)","(-36.0, 1004.0)","(12.0, 1040.0)","(49.0, 890.0)","(60.33, 1045.0)"
215,"(22.0, 1002.0)","(18.0, 948.0)","(-56.0, 964.0)","(-37.0, 1006.0)","(10.0, 1048.0)","(48.0, 890.0)","(49.0, 1070.0)"
216,"(22.0, 1002.0)","(18.0, 948.0)","(-56.0, 964.0)","(-35.0, 1006.0)","(10.0, 1048.0)","(48.0, 890.0)","(49.0, 1070.0)"
217,"(15.0, 1006.0)","(14.0, 954.0)","(-56.0, 982.0)","(-34.0, 1014.0)","(5.0, 1054.0)","(50.0, 896.0)","(54.0, 1080.0)"
218,"(16.0, 1014.0)","(13.0, 960.0)","(-50.0, 988.0)","(-38.0, 1014.0)","(5.0, 1060.0)","(50.0, 904.0)","(58.0, 1084.0)"
219,"(20.0, 1020.0)","(20.0, 966.0)","(-50.0, 992.0)","(-31.0, 1019.0)","(6.0, 1068.0)","(56.0, 908.0)","(58.0, 1086.0)"
220,"(12.0, 1028.0)","(18.0, 966.0)","(-46.0, 992.0)","(-30.0, 1024.0)","(0.0, 1074.0)","(49.0, 919.0)","(58.0, 1086.0)"
221,"(10.0, 1033.0)","(17.0, 977.0)","(-42.0, 992.0)","(-34.0, 1024.0)","(4.0, 1082.0)","(49.0, 921.5)","(60.0, 1088.0)"
222,"(10.0, 1033.0)","(17.0, 977.0)","(-42.0, 992.0)","(-34.0, 1024.0)","(4.0, 1082.0)","(46.0, 928.0)","(60.0, 1088.0)"
223,"(14.0, 1038.0)","(22.0, 982.0)","(-40.0, 992.0)","(-30.0, 1030.0)","(5.0, 1085.0)","(47.0, 942.0)","(60.0, 1088.0)"
224,"(14.0, 1038.0)","(22.0, 982.0)","(-40.0, 992.0)","(-30.0, 1030.0)","(5.0, 1085.0)","(47.0, 942.0)","(58.0, 1088.0)"
225,"(11.0, 1047.0)","(19.0, 989.0)","(-38.0, 992.0)","(-34.0, 1042.0)","(4.0, 1091.0)","(47.0, 950.0)","(54.0, 1088.0)"
226,"(8.0, 1050.0)","(16.0, 996.0)","(-39.0, 992.0)","(-40.0, 1057.0)","(-4.0, 1096.0)","(50.17, 961.33)","(51.0, 1088.0)"
227,"(12.0, 1056.0)","(18.0, 1000.67)","(-38.0, 992.0)","(-46.0, 1069.0)","(-4.0, 1100.0)","(54.0, 972.0)","(48.0, 1088.0)"
228,"(12.0, 1056.0)","(20.0, 1005.33)","(-36.0, 992.0)","(-46.0, 1069.0)","(-4.0, 1100.0)","(54.0, 972.0)","(48.0, 1088.0)"
229,"(10.0, 1062.0)","(22.0, 1010.0)","(-40.0, 990.0)","(-46.0, 1078.0)","(0.0, 1106.0)","(54.19, 991.39)","(44.0, 1088.0)"
230,"(0.0, 1068.0)","(20.0, 1016.0)","(-38.0, 990.0)","(-50.5, 1095.5)","(6.0, 1114.0)","(56.0, 1024.0)","(46.0, 1084.0)"
231,"(0.0, 1076.0)","(17.0, 1026.0)","(-36.0, 991.0)","(-58.0, 1118.0)","(6.0, 1120.0)","(62.0, 1008.0)","(42.0, 1082.0)"
232,"(-2.0, 1083.0)","(18.0, 1032.0)","(-40.0, 990.0)","(-50.75, 1123.58)","(4.0, 1126.0)","(63.0, 1026.0)","(40.0, 1082.0)"
233,"(-1.0, 1091.0)","(15.0, 1043.0)","(-38.0, 994.0)","(-48.0, 1156.0)","(6.0, 1132.0)","(70.0, 1038.0)","(34.0, 1080.0)"
234,"(-1.0, 1091.0)","(16.0, 1038.0)","(-38.0, 994.0)","(-48.0, 1156.0)","(6.0, 1132.0)","(70.0, 1038.0)","(34.0, 1080.0)"
235,"(-2.0, 1094.0)","(16.0, 1046.0)","(-40.0, 994.0)","(-48.0, 1166.0)","(6.0, 1136.0)","(78.0, 1052.0)","(27.0, 1080.0)"
236,"(-4.0, 1099.0)","(12.0, 1044.0)","(-36.0, 998.0)","(-41.0, 1176.0)","(8.0, 1142.0)","(64.83, 1057.33)","(26.0, 1087.0)"
237,"(2.0, 1106.0)","(9.0, 1049.0)","(-36.0, 1004.0)","(-36.0, 1192.0)","(10.0, 1152.0)","(60.0, 1074.0)","(45.0, 1093.0)"
238,"(-2.0, 1110.0)","(6.0, 1054.0)","(-33.0, 1012.0)","(-36.0, 1193.0)","(12.0, 1156.0)","(60.0, 1074.0)","(46.0, 1094.0)"
239,"(0.0, 1120.0)","(2.0, 1062.0)","(-32.0, 1016.0)","(-40.0, 1192.0)","(19.0, 1166.0)","(54.0, 1074.0)","(43.0, 1104.0)"
240,"(6.0, 1125.0)","(8.0, 1074.0)","(-27.0, 1024.0)","(-40.0, 1192.0)","(14.0, 1170.0)","(49.0, 1078.33)","(43.0, 1110.0)"
241,"(6.0, 1125.0)","(8.0, 1074.0)","(-27.0, 1024.0)","(-40.0, 1192.0)","(14.0, 1170.0)","(34.0, 1084.0)","(43.0, 1110.0)"
242,"(5.0, 1128.0)","(5.5, 1077.0)","(-30.0, 1028.0)","(-34.0, 1193.0)","(14.0, 1174.0)","(52.0, 1080.0)","(44.0, 1112.0)"
243,"(13.0, 1134.0)","(3.0, 1080.0)","(-34.0, 1036.0)","(-34.0, 1193.0)","(17.0, 1182.0)","(53.0, 1078.0)","(43.0, 1118.0)"
244,"(14.0, 1139.0)","(4.0, 1088.0)","(-34.0, 1046.0)","(-38.0, 1192.0)","(21.0, 1187.0)","(52.0, 1077.0)","(50.0, 1137.83)"
245,"(14.0, 1145.0)","(5.0, 1094.0)","(-38.0, 1058.0)","(-38.0, 1194.0)","(14.0, 1196.0)","(54.0, 1073.0)","(60.0, 1163.0)"
246,"(16.0, 1152.0)","(12.0, 1102.0)","(-42.0, 1067.33)","(-38.0, 1194.0)","(17.0, 1204.0)","(52.0, 1074.0)","(60.0, 1176.0)"
247,"(16.0, 1152.0)","(12.0, 1102.0)","(-46.0, 1082.0)","(-38.0, 1194.0)","(17.0, 1204.0)","(52.0, 1074.0)","(60.0, 1176.0)"
248,"(18.0, 1164.0)","(12.0, 1104.0)","(-54.0, 1100.0)","(-38.0, 1194.0)","(13.0, 1208.0)","(48.0, 1076.0)","(70.0, 1192.0)"
249,"(20.0, 1170.0)","(12.0, 1106.0)","(-50.0, 1114.0)","(-36.0, 1193.0)","(12.0, 1214.0)","(52.0, 1078.0)","(70.0, 1212.0)"
250,"(19.0, 1178.0)","(11.0, 1122.0)","(-56.0, 1128.0)","(-34.0, 1193.0)","(13.0, 1224.0)","(52.0, 1077.0)","(68.0, 1229.0)"
251,"(19.0, 1184.0)","(14.5, 1129.0)","(-52.0, 1140.0)","(-37.0, 1193.0)","(8.0, 1228.0)","(48.0, 1078.0)","(62.67, 1233.5)"
252,"(19.0, 1192.0)","(18.0, 1136.0)","(-56.0, 1152.0)","(-38.0, 1194.0)","(8.0, 1236.0)","(48.0, 1080.0)","(54.0, 1260.0)"
253,"(19.0, 1192.0)","(18.0, 1136.0)","(-56.0, 1152.0)","(-38.0, 1194.0)","(8.0, 1236.0)","(48.0, 1080.0)","(54.0, 1260.0)"
254,"(18.0, 1196.0)","(12.0, 1142.0)","(-53.17, 1162.0)","(-34.0, 1202.0)","(9.0, 1244.0)","(50.0, 1086.0)","(54.0, 1268.0)"
255,"(19.0, 1203.0)","(12.0, 1148.0)","(-54.0, 1176.0)","(-38.0, 1202.0)","(4.0, 1248.0)","(50.0, 1090.0)","(56.0, 1272.0)"
256,"(20.0, 1208.0)","(16.0, 1148.0)","(-47.0, 1180.0)","(-36.0, 1208.0)","(9.0, 1258.0)","(54.0, 1096.0)","(58.0, 1274.0)"
257,"(17.0, 1218.0)","(16.0, 1154.0)","(-42.0, 1182.0)","(-30.0, 1212.0)","(5.0, 1264.0)","(48.0, 1110.0)","(60.0, 1274.0)"
258,"(9.0, 1220.0)","(17.0, 1165.0)","(-44.0, 1180.0)","(-26.0, 1213.0)","(2.0, 1270.0)","(46.0, 1116.0)","(60.0, 1276.0)"
259,"(9.0, 1220.0)","(17.0, 1165.0)","(-44.0, 1180.0)","(-26.0, 1213.0)","(2.0, 1270.0)","(46.0, 1116.0)","(60.0, 1276.0)"
260,"(18.0, 1226.0)","(16.5, 1167.5)","(-42.0, 1180.0)","(-30.0, 1219.0)","(4.0, 1274.0)","(46.0, 1131.0)","(58.0, 1276.0)"
261,"(18.0, 1226.0)","(16.0, 1170.0)","(-42.0, 1180.0)","(-30.0, 1219.0)","(4.0, 1274.0)","(46.0, 1131.0)","(58.0, 1276.0)"
262,"(11.0, 1236.0)","(17.0, 1177.5)","(-39.0, 1180.0)","(-36.0, 1230.0)","(4.0, 1280.0)","(46.0, 1138.0)","(56.0, 1278.0)"
263,"(8.0, 1238.0)","(18.0, 1185.0)","(-40.0, 1180.0)","(-42.0, 1246.0)","(-4.0, 1284.0)","(49.0, 1149.67)","(56.0, 1278.0)"
264,"(12.0, 1245.0)","(19.33, 1189.33)","(-39.0, 1180.0)","(-46.0, 1258.0)","(-2.0, 1289.0)","(52.0, 1160.0)","(48.0, 1276.0)"
265,"(15.0, 1246.0)","(20.67, 1193.67)","(-39.0, 1180.0)","(-46.0, 1258.0)","(-2.0, 1289.0)","(52.0, 1160.0)","(48.0, 1276.0)"
266,"(8.0, 1251.0)","(22.0, 1198.0)","(-38.0, 1180.0)","(-48.0, 1266.0)","(0.0, 1295.0)","(56.0, 1178.0)","(45.0, 1274.0)"
267,"(0.0, 1258.0)","(24.0, 1208.0)","(-34.0, 1180.0)","(-51.5, 1284.0)","(2.0, 1302.0)","(55.0, 1186.33)","(46.0, 1272.0)"
268,"(-2.0, 1264.0)","(26.0, 1216.0)","(-36.0, 1180.0)","(-60.0, 1306.0)","(2.0, 1308.0)","(60.0, 1196.0)","(42.0, 1270.0)"
269,"(-3.0, 1272.0)","(18.0, 1226.0)","(-38.0, 1180.0)","(-52.25, 1311.67)","(9.0, 1316.0)","(62.0, 1214.0)","(38.0, 1270.0)"
270,"(0.0, 1279.0)","(16.0, 1232.0)","(-38.0, 1182.0)","(-49.0, 1344.0)","(6.0, 1320.0)","(70.0, 1226.0)","(34.0, 1268.0)"
271,"(0.0, 1279.0)","(16.0, 1232.0)","(-38.0, 1182.0)","(-49.0, 1344.0)","(6.0, 1320.0)","(70.0, 1226.0)","(34.0, 1268.0)"
272,"(2.0, 1282.0)","(14.0, 1225.0)","(-38.0, 1184.0)","(-48.0, 1354.0)","(11.0, 1326.0)","(62.5, 1238.0)","(26.0, 1268.0)"
273,"(-6.0, 1287.0)","(12.0, 1238.0)","(-34.0, 1186.0)","(-41.0, 1364.0)","(6.0, 1330.0)","(51.0, 1257.0)","(26.0, 1276.0)"
274,"(-2.0, 1292.0)","(6.0, 1238.0)","(-34.0, 1188.0)","(-39.0, 1375.0)","(8.0, 1336.0)","(65.38, 1245.25)","(21.0, 1280.0)"
276,"(-12.0, 1290.0)","(4.0, 1238.0)","(-50.0, 1200.0)","(-54.0, 1338.0)","(1.0, 1336.0)","(38.17, 1231.83)","(42.0, 1308.0)"
277,"(-12.0, 1290.0)","(6.0, 1238.0)","(-50.0, 1200.0)","(-54.0, 1338.0)","(1.0, 1336.0)","(38.19, 1236.64)","(44.0, 1308.0)"
278,"(-10.0, 1296.0)","(6.0, 1241.0)","(-52.0, 1200.0)","(-50.0, 1356.0)","(0.0, 1342.0)","(38.73, 1246.25)","(40.0, 1306.0)"
279,"(-10.0, 1296.0)","(6.0, 1244.0)","(-50.0, 1202.0)","(-49.0, 1356.0)","(0.0, 1342.0)","(32.0, 1262.0)","(40.0, 1306.0)"
280,"(-10.0, 1302.0)","(6.0, 1247.0)","(-48.0, 1204.0)","(-48.5, 1369.0)","(1.0, 1346.0)","(42.32, 1260.31)","(40.0, 1306.0)"
281,"(-9.0, 1309.0)","(6.0, 1252.0)","(-42.0, 1208.0)","(-46.0, 1388.0)","(9.0, 1354.0)","(44.01, 1269.09)","(42.0, 1310.0)"
282,"(-10.0, 1314.0)","(3.33, 1255.33)","(-36.0, 1210.0)","(-42.0, 1400.0)","(8.0, 1358.0)","(50.05, 1275.07)","(44.0, 1308.0)"
283,"(-10.0, 1314.0)","(0.67, 1258.67)","(-38.0, 1210.0)","(-42.0, 1400.0)","(8.0, 1358.0)","(60.0, 1285.0)","(44.0, 1308.0)"
284,"(-6.0, 1320.0)","(-2.0, 1262.0)","(-39.0, 1214.0)","(-37.0, 1405.0)","(13.0, 1366.0)","(64.0, 1290.0)","(46.0, 1313.0)"
285,"(0.0, 1326.0)","(1.0, 1273.0)","(-36.0, 1224.0)","(-36.0, 1412.0)","(10.0, 1372.0)","(60.0, 1294.0)","(46.0, 1312.0)"
286,"(-2.0, 1330.0)","(4.0, 1274.0)","(-35.0, 1232.0)","(-35.0, 1414.0)","(12.0, 1376.0)","(60.0, 1294.0)","(46.0, 1312.0)"
287,"(0.0, 1340.0)","(2.0, 1282.0)","(-32.0, 1236.0)","(-37.0, 1414.0)","(18.0, 1386.0)","(57.0, 1294.0)","(43.0, 1324.0)"
288,"(6.0, 1345.0)","(2.0, 1292.0)","(-30.0, 1244.0)","(-33.0, 1414.0)","(14.0, 1390.0)","(56.0, 1290.0)","(43.0, 1330.0)"
289,"(6.0, 1345.0)","(2.0, 1292.0)","(-30.0, 1244.0)","(-35.0, 1414.0)","(14.0, 1390.0)","(56.0, 1290.0)","(43.0, 1330.0)"
290,"(5.0, 1348.0)","(4.0, 1284.0)","(-33.0, 1248.0)","(-34.0, 1413.0)","(19.0, 1396.0)","(52.0, 1300.0)","(40.0, 1332.0)"
291,"(12.0, 1354.0)","(3.0, 1298.0)","(-32.0, 1256.0)","(-34.0, 1413.0)","(17.0, 1402.0)","(52.0, 1298.0)","(43.0, 1338.0)"
292,"(14.0, 1359.0)","(6.0, 1303.5)","(-34.0, 1266.0)","(-34.0, 1413.0)","(17.0, 1406.0)","(44.0, 1301.0)","(49.33, 1357.17)"
293,"(14.0, 1365.0)","(9.0, 1309.0)","(-38.0, 1280.0)","(-37.0, 1414.0)","(14.0, 1416.0)","(39.0, 1302.0)","(60.0, 1381.0)"
294,"(21.0, 1374.0)","(9.0, 1316.0)","(-41.33, 1288.0)","(-36.0, 1414.0)","(17.0, 1424.0)","(50.0, 1292.0)","(60.0, 1394.0)"
295,"(21.0, 1374.0)","(9.0, 1316.0)","(-46.0, 1302.0)","(-36.0, 1414.0)","(16.0, 1424.0)","(50.0, 1292.0)","(60.0, 1394.0)"
296,"(18.0, 1384.0)","(10.42, 1323.08)","(-54.0, 1320.0)","(-35.0, 1414.0)","(12.0, 1428.0)","(48.0, 1296.0)","(63.83, 1411.17)"
297,"(20.0, 1390.0)","(11.83, 1330.17)","(-53.0, 1334.0)","(-34.0, 1413.0)","(12.0, 1434.0)","(47.83, 1298.83)","(63.81, 1425.19)"
298,"(19.0, 1398.0)","(12.42, 1339.08)","(-56.0, 1348.0)","(-34.0, 1413.0)","(13.0, 1444.0)","(49.14, 1297.31)","(70.0, 1450.0)"
299,"(18.0, 1404.0)","(13.0, 1348.0)","(-54.0, 1360.0)","(-38.0, 1413.0)","(8.0, 1448.0)","(47.0, 1298.0)","(62.0, 1468.0)"
300,"(19.0, 1412.0)","(20.0, 1356.0)","(-52.0, 1373.0)","(-36.0, 1414.0)","(8.0, 1456.0)","(50.0, 1302.0)","(50.0, 1478.0)"
301,"(19.0, 1412.0)","(20.0, 1356.0)","(-52.0, 1373.0)","(-36.0, 1414.0)","(8.0, 1456.0)","(50.0, 1302.0)","(50.0, 1478.0)"
302,"(16.0, 1416.0)","(12.0, 1362.0)","(-56.0, 1392.0)","(-34.0, 1422.0)","(6.0, 1464.0)","(50.0, 1306.0)","(52.0, 1488.0)"
303,"(16.0, 1422.0)","(12.0, 1368.0)","(-55.0, 1396.0)","(-34.0, 1424.0)","(4.0, 1468.0)","(48.0, 1311.0)","(62.0, 1492.0)"
304,"(18.0, 1428.0)","(16.0, 1375.0)","(-45.0, 1402.0)","(-34.0, 1428.0)","(9.0, 1478.0)","(51.0, 1316.0)","(62.0, 1494.0)"
305,"(14.0, 1438.0)","(14.0, 1378.0)","(-42.0, 1402.0)","(-30.0, 1432.0)","(2.0, 1484.0)","(47.83, 1327.83)","(62.0, 1494.0)"
306,"(14.0, 1442.0)","(17.0, 1385.0)","(-44.0, 1400.0)","(-30.0, 1434.0)","(2.0, 1490.0)","(46.0, 1338.0)","(62.0, 1494.0)"
307,"(14.0, 1442.0)","(17.0, 1385.0)","(-44.0, 1400.0)","(-30.0, 1434.0)","(2.0, 1490.0)","(46.0, 1338.0)","(62.0, 1494.0)"
308,"(14.0, 1446.0)","(16.0, 1388.67)","(-42.0, 1400.0)","(-28.0, 1439.0)","(4.0, 1494.0)","(45.0, 1352.0)","(57.0, 1494.0)"
309,"(14.0, 1446.0)","(15.0, 1392.33)","(-42.0, 1400.0)","(-28.0, 1439.0)","(4.0, 1494.0)","(45.0, 1352.0)","(57.0, 1494.0)"
310,"(11.0, 1456.0)","(14.0, 1396.0)","(-40.0, 1400.0)","(-36.0, 1450.0)","(4.0, 1500.0)","(46.0, 1358.0)","(54.0, 1498.0)"
311,"(11.0, 1460.0)","(18.0, 1404.0)","(-40.0, 1400.0)","(-42.0, 1466.0)","(-2.0, 1505.0)","(48.67, 1375.17)","(54.0, 1498.0)"
312,"(12.0, 1466.0)","(18.67, 1408.67)","(-40.0, 1400.0)","(-49.0, 1476.0)","(1.0, 1510.0)","(56.0, 1408.0)","(48.0, 1496.0)"
313,"(12.0, 1466.0)","(19.33, 1413.33)","(-40.0, 1400.0)","(-46.0, 1477.0)","(1.0, 1510.0)","(51.94, 1392.03)","(48.0, 1496.0)"
314,"(9.0, 1472.0)","(20.0, 1418.0)","(-36.0, 1400.0)","(-49.0, 1486.0)","(0.0, 1516.0)","(52.0, 1396.0)","(46.0, 1496.0)"
315,"(6.0, 1476.0)","(24.0, 1428.0)","(-35.0, 1400.0)","(-50.5, 1503.5)","(2.0, 1522.0)","(55.99, 1413.34)","(44.0, 1492.0)"
316,"(-2.0, 1484.0)","(17.0, 1434.0)","(-36.0, 1400.0)","(-54.0, 1526.0)","(2.0, 1528.0)","(60.0, 1416.0)","(42.0, 1490.0)"
317,"(-2.0, 1492.0)","(20.0, 1446.0)","(-36.0, 1400.0)","(-50.58, 1531.58)","(6.0, 1536.0)","(62.0, 1434.0)","(38.0, 1490.0)"
318,"(-4.0, 1498.0)","(16.0, 1452.0)","(-38.0, 1402.0)","(-49.0, 1564.0)","(6.0, 1540.0)","(70.0, 1446.0)","(33.0, 1488.0)"
319,"(-4.0, 1498.0)","(16.0, 1452.0)","(-38.0, 1402.0)","(-49.0, 1564.0)","(6.0, 1540.0)","(70.0, 1446.0)","(33.0, 1488.0)"
320,"(0.0, 1503.0)","(14.0, 1450.0)","(-38.0, 1404.0)","(-46.0, 1576.0)","(11.0, 1546.0)","(76.0, 1460.0)","(26.0, 1488.0)"
321,"(-6.0, 1508.0)","(11.0, 1458.0)","(-34.0, 1406.0)","(-40.0, 1585.0)","(11.0, 1551.0)","(65.0, 1465.5)","(26.0, 1496.0)"
322,"(-4.0, 1510.0)","(-2.0, 1450.0)","(-38.0, 1404.0)","(-38.0, 1594.0)","(7.0, 1554.0)","(64.0, 1480.0)","(37.67, 1496.33)"
323,"(0.0, 1515.0)","(2.0, 1452.0)","(-36.0, 1414.0)","(-34.0, 1601.0)","(12.0, 1561.0)","(60.0, 1483.0)","(48.0, 1502.0)"
