Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
53.25,"(18.25, 210.00)","(14.75, 154.00)","(-37.50, 217.25)","(-53.50, 167.25)","(8.00, 254.00)","(47.75, 103.00)","(59.00, 274.50)"
53.5,"(18.50, 212.00)","(16.50, 156.00)","(-37.00, 217.50)","(-53.00, 170.50)","(8.00, 256.00)","(48.50, 104.00)","(56.00, 277.00)"
53.75,"(18.75, 214.00)","(18.25, 158.00)","(-36.50, 217.75)","(-52.50, 173.75)","(8.00, 258.00)","(49.25, 105.00)","(53.00, 279.50)"
54.0,"(19.00, 216.00)","(20.00, 160.00)","(-36.00, 218.00)","(-52.00, 177.00)","(8.00, 260.00)","(50.00, 106.00)","(50.00, 282.00)"
54.25,"(19.00, 216.00)","(20.00, 160.00)","(-36.00, 218.00)","(-52.00, 177.00)","(8.00, 260.00)","(50.00, 106.00)","(50.00, 282.00)"
54.5,"(19.00, 216.00)","(20.00, 160.00)","(-36.00, 218.00)","(-52.00, 177.00)","(8.00, 260.00)","(50.00, 106.00)","(50.00, 282.00)"
54.75,"(19.00, 216.00)","(20.00, 160.00)","(-36.00, 218.00)","(-52.00, 177.00)","(8.00, 260.00)","(50.00, 106.00)","(50.00, 282.00)"
55.0,"(19.00, 216.00)","(20.00, 160.00)","(-36.00, 218.00)","(-52.00, 177.00)","(8.00, 260.00)","(50.00, 106.00)","(50.00, 282.00)"
55.25,"(18.25, 217.00)","(18.00, 161.50)","(-35.50, 220.00)","(-53.00, 181.75)","(7.50, 262.00)","(50.00, 107.00)","(50.50, 284.50)"
55.5,"(17.50, 218.00)","(16.00, 163.00)","(-35.00, 222.00)","(-54.00, 186.50)","(7.00, 264.00)","(50.00, 108.00)","(51.00, 287.00)"
55.75,"(16.75, 219.00)","(14.00, 164.50)","(-34.50, 224.00)","(-55.00, 191.25)","(6.50, 266.00)","(50.00, 109.00)","(51.50, 289.50)"
56.0,"(16.00, 220.00)","(12.00, 166.00)","(-34.00, 226.00)","(-56.00, 196.00)","(6.00, 268.00)","(50.00, 110.00)","(52.00, 292.00)"
56.25,"(16.00, 221.50)","(12.00, 167.50)","(-34.00, 226.50)","(-55.75, 197.00)","(5.50, 269.00)","(49.50, 111.25)","(54.50, 293.00)"
56.5,"(16.00, 223.00)","(12.00, 169.00)","(-34.00, 227.00)","(-55.50, 198.00)","(5.00, 270.00)","(49.00, 112.50)","(57.00, 294.00)"
56.75,"(16.00, 224.50)","(12.00, 170.50)","(-34.00, 227.50)","(-55.25, 199.00)","(4.50, 271.00)","(48.50, 113.75)","(59.50, 295.00)"
57.0,"(16.00, 226.00)","(12.00, 172.00)","(-34.00, 228.00)","(-55.00, 200.00)","(4.00, 272.00)","(48.00, 115.00)","(62.00, 296.00)"
57.25,"(16.50, 227.50)","(13.00, 173.75)","(-34.00, 229.00)","(-52.50, 201.50)","(5.25, 274.50)","(48.75, 116.25)","(62.00, 296.50)"
57.5,"(17.00, 229.00)","(14.00, 175.50)","(-34.00, 230.00)","(-50.00, 203.00)","(6.50, 277.00)","(49.50, 117.50)","(62.00, 297.00)"
