Frame,middle,rear,left_front,left_hind,head,right_hind,right_front
8.550495049504951,"(5.99, -24.20)","(-6.37, -74.81)","(-47.17, 26.29)","(-48.06, -85.32)","(0.55, 30.05)","(21.04, -112.92)","(50.86, 11.37)"
8.801980198019802,"(6.32, -23.49)","(-8.46, -71.80)","(-47.69, 26.44)","(-47.90, -83.02)","(-1.11, 30.98)","(21.36, -117.74)","(50.50, 13.87)"
9.053465346534654,"(6.17, -21.50)","(-9.83, -69.50)","(-47.83, 26.50)","(-47.83, -80.50)","(-1.83, 32.50)","(22.17, -121.50)","(50.17, 16.50)"
9.304950495049505,"(6.58, -17.55)","(-9.51, -66.94)","(-46.70, 26.99)","(-47.41, -76.69)","(-1.03, 35.26)","(23.75, -122.37)","(51.19, 20.16)"
9.556435643564356,"(6.96, -13.50)","(-8.51, -65.05)","(-45.38, 26.45)","(-47.84, -72.59)","(-0.20, 37.62)","(24.61, -121.29)","(52.89, 23.62)"
9.807920792079209,"(7.78, -10.01)","(-6.90, -63.33)","(-44.01, 25.12)","(-48.95, -67.87)","(0.26, 39.39)","(24.65, -118.66)","(55.34, 27.01)"
10.05940594059406,"(8.95, -7.43)","(-5.05, -61.43)","(-43.05, 23.57)","(-50.55, -62.26)","(-0.05, 40.57)","(23.95, -115.43)","(57.95, 30.57)"
10.31089108910891,"(9.69, -5.71)","(-3.70, -59.28)","(-43.25, 22.44)","(-52.61, -55.74)","(-1.48, 41.41)","(22.53, -112.71)","(59.63, 34.53)"
10.562376237623763,"(10.21, -4.48)","(-2.31, -57.10)","(-43.94, 22.10)","(-53.94, -48.66)","(-2.87, 42.20)","(21.65, -111.25)","(60.61, 38.94)"
10.813861386138614,"(10.01, -3.18)","(-1.05, -55.12)","(-44.96, 22.59)","(-54.36, -41.62)","(-3.80, 43.21)","(21.52, -111.05)","(60.67, 43.73)"
11.065346534653465,"(9.03, -1.62)","(0.03, -53.62)","(-45.97, 23.38)","(-53.97, -35.62)","(-3.97, 44.38)","(22.03, -111.62)","(60.03, 48.38)"
11.316831683168317,"(7.77, -0.14)","(1.02, -52.81)","(-46.48, 23.64)","(-53.01, -31.75)","(-3.34, 45.33)","(22.88, -112.29)","(59.26, 52.05)"
11.568316831683168,"(6.72, 1.67)","(1.67, -51.65)","(-46.56, 23.81)","(-52.20, -29.67)","(-2.54, 46.70)","(23.35, -111.49)","(58.55, 55.03)"
11.81980198019802,"(6.67, 3.32)","(1.99, -49.88)","(-46.29, 23.96)","(-51.85, -29.17)","(-1.99, 48.41)","(23.19, -109.02)","(58.14, 57.12)"
12.071287128712871,"(8.03, 3.95)","(2.03, -48.05)","(-45.97, 23.95)","(-51.97, -30.05)","(-1.97, 49.95)","(22.53, -105.88)","(58.03, 57.95)"
12.322772277227722,"(10.59, 2.74)","(1.79, -47.35)","(-46.02, 23.40)","(-52.36, -32.02)","(-2.49, 50.52)","(21.79, -103.89)","(58.02, 57.18)"
12.574257425742575,"(13.62, 1.15)","(1.39, -47.31)","(-46.67, 23.61)","(-52.63, -32.93)","(-3.22, 51.19)","(21.49, -102.96)","(57.98, 56.59)"
12.825742574257426,"(16.05, -0.29)","(0.92, -48.50)","(-47.92, 24.32)","(-52.51, -32.24)","(-3.80, 51.75)","(21.93, -103.65)","(57.92, 56.73)"
13.077227722772278,"(16.80, -0.52)","(0.30, -50.52)","(-49.70, 25.48)","(-52.20, -29.52)","(-4.20, 52.48)","(22.84, -105.26)","(57.80, 58.48)"
13.328712871287129,"(15.25, 1.39)","(-0.61, -52.25)","(-51.80, 27.13)","(-52.22, -24.83)","(-4.72, 53.81)","(23.53, -106.32)","(57.54, 62.49)"
13.58019801980198,"(12.30, 4.16)","(-1.16, -53.92)","(-53.20, 27.73)","(-52.40, -20.39)","(-5.05, 54.48)","(24.06, -107.00)","(57.79, 67.21)"
13.831683168316832,"(8.82, 7.37)","(-1.32, -54.53)","(-53.65, 27.36)","(-53.03, -17.14)","(-5.50, 54.60)","(24.03, -106.63)","(58.35, 72.08)"
14.083168316831683,"(5.91, 10.53)","(-1.09, -53.47)","(-53.09, 26.53)","(-54.09, -15.47)","(-6.09, 54.53)","(23.49, -105.11)","(58.91, 76.53)"
14.334653465346534,"(4.35, 13.24)","(-0.55, -50.80)","(-51.77, 25.94)","(-55.28, -15.01)","(-6.59, 54.69)","(22.81, -102.95)","(59.07, 80.19)"
14.586138613861387,"(3.97, 15.36)","(-0.25, -47.34)","(-50.44, 26.07)","(-56.52, -14.87)","(-6.95, 55.37)","(22.12, -100.98)","(58.22, 82.92)"
14.837623762376237,"(4.38, 17.03)","(-0.42, -44.23)","(-49.50, 27.05)","(-57.51, -13.94)","(-6.84, 56.71)","(21.76, -99.79)","(56.35, 84.92)"
15.089108910891088,"(5.10, 18.50)","(-0.90, -42.50)","(-48.90, 28.50)","(-57.90, -11.50)","(-5.90, 58.50)","(22.10, -99.50)","(54.10, 86.50)"
