Frame,A,B,C,D,E,F,G,H,I,J,K,L,M
31,"(7, 129)","(-25, 133)","(-14, 115)","(4, 107)","(10, 83)","(28, 74)","(-4, 79)","(-24, 12)","(-17, 26)","(0, 44)","(19, 59)","(39, 59)","(9, 18)"
32,"(8, 136)","(-22, 137)","(-12, 119)","(6, 111)","(13, 87)","(29, 73)","(-1, 82)","(-23, 18)","(-18, 35)","(0, 49)","(17, 63)","(38, 62)","(7, 23)"
33,"(8, 139)","(-24, 138)","(-12, 124)","(7, 114)","(15, 89)","(29, 74)","(-2, 85)","(-23, 22)","(-20, 41)","(1, 51)","(17, 65)","(37, 62)","(7, 30)"
34,"(10, 144)","(-24, 138)","(-12, 126)","(9, 120)","(18, 93)","(28, 82)","(0, 91)","(-21, 25)","(-19, 47)","(1, 55)","(20, 68)","(35, 62)","(5, 32)"
35,"(9, 148)","(-24, 138)","(-13, 125)","(8, 124)","(19, 98)","(25, 84)","(2, 95)","(-20, 30)","(-19, 51)","(2, 61)","(21, 68)","(35, 60)","(5, 35)"
36,"(8, 154)","(-24, 138)","(-13, 125)","(9, 126)","(21, 105)","(26, 85)","(3, 97)","(-21, 33)","(-18, 54)","(1, 62)","(22, 70)","(34, 66)","(3, 35)"
37,"(9, 155)","(-23, 138)","(-12, 126)","(9, 131)","(21, 110)","(26, 89)","(5, 100)","(-22, 38)","(-18, 61)","(4, 69)","(23, 71)","(33, 65)","(2, 38)"
38,"(8, 159)","(-24, 138)","(-11, 128)","(11, 134)","(22, 117)","(32, 108)","(6, 103)","(-22, 44)","(-17, 67)","(3, 71)","(24, 72)","(32, 64)","(1, 40)"
39,"(6, 167)","(-24, 138)","(-10, 131)","(8, 141)","(23, 125)","(37, 120)","(7, 108)","(-24, 53)","(-18, 73)","(4, 78)","(24, 73)","(34, 62)","(2, 49)"
40,"(5, 170)","(-24, 138)","(-9, 132)","(7, 144)","(23, 134)","(38, 128)","(10, 113)","(-30, 67)","(-18, 82)","(6, 82)","(22, 75)","(33, 62)","(0, 52)"
41,"(5, 173)","(-24, 138)","(-9, 132)","(8, 147)","(24, 139)","(42, 140)","(10, 119)","(-36, 79)","(-18, 89)","(6, 85)","(23, 76)","(31, 64)","(0, 59)"
